trial_id,target_class,sample_id,position_id,target_x_mm,target_y_mm,detected_class,detection_received,grasp_pose_captured,fk_x_mm,fk_y_mm,fk_z_mm,estimated_total_error_mm,position_pass,operation_complete,operation_complete_source,trial_completion_mode,failure_reasons
T001,can,can-001,P01,122.0,84.5,can,True,True,133.00000000000006,84.50000000000006,79.99999999999984,11.000000000000057,False,True,keyboard_e,keyboard_e,position_tolerance_exceeded
T002,pet bottle,pet bottle-002,P01,122.0,84.5,pet bottle,True,True,134.4999999999999,84.49999999999997,80.00000000000013,12.499999999999886,False,True,keyboard_e,keyboard_e,position_tolerance_exceeded
T003,styrofoam,styrofoam-003,P01,122.0,84.5,styrofoam,True,True,127.25000000000003,84.5,79.99999999999991,5.250000000000028,True,True,keyboard_e,keyboard_e,
T004,can,can-004,P01,122.0,84.5,can,True,True,125.50000000000003,84.50000000000001,79.99999999999997,3.5000000000000284,True,True,keyboard_e,keyboard_e,
T005,pet bottle,pet bottle-005,P01,122.0,84.5,pet bottle,True,True,130.50000000000009,84.50000000000001,79.99999999999991,8.500000000000085,True,True,keyboard_e,keyboard_e,
T006,styrofoam,styrofoam-006,P01,122.0,84.5,styrofoam,True,True,123.74999999999989,84.49999999999991,80.00000000000016,1.7499999999998863,True,True,keyboard_e,keyboard_e,
T007,can,can-007,P01,122.0,84.5,can,True,True,136.99999999999994,84.49999999999996,80.00000000000007,14.999999999999943,False,True,keyboard_e,keyboard_e,position_tolerance_exceeded
T008,pet bottle,pet bottle-008,P01,122.0,84.5,pet bottle,True,True,131.24999999999997,84.49999999999994,80.00000000000004,9.249999999999972,True,True,keyboard_e,keyboard_e,
T009,styrofoam,styrofoam-009,P01,122.0,84.5,styrofoam,True,True,129.74999999999994,84.49999999999997,80.00000000000007,7.749999999999943,True,True,keyboard_e,keyboard_e,
